"time_window","accept_rate","request","long_waiting","longwait_percent1","longwait_percent4","longwait_percent2","longwait_percent3","Weather Weight_Longwait_percent4","Weather Weight_Longwait_percent2"
"07 14:40:00","0.83255813953488","215","41","0.27906976744186","0.21720930232558","0.20837209302325","0.1906976744186","0.21720930232558","0.20837209302325"
"07 15:00:00","0.87046632124352","193","36","0.30051813471502","0.22072538860104","0.20932642487047","0.18652849740933","0.22072538860104","0.20932642487047"
"07 15:20:00","0.91907514450867","173","29","0.27167630057803","0.19884393063584","0.18843930635838","0.16763005780347","0.19884393063584","0.18843930635838"
"07 15:40:00","0.92903225806452","155","20","0.18709677419355","0.14645161290323","0.14064516129032","0.12903225806452","0.14645161290323","0.14064516129032"
"07 16:00:00","0.80337078651685","178","25","0.19101123595506","0.15561797752809","0.15056179775281","0.14044943820225","0.15561797752809","0.15056179775281"
"07 16:20:00","0.85714285714286","119","17","0.21008403361344","0.16302521008403","0.1563025210084","0.14285714285714","0.16302521008403","0.1563025210084"
"07 16:40:00","0.92982456140351","114","10","0.10526315789474","0.092982456140351","0.091228070175439","0.087719298245614","0.092982456140351","0.091228070175439"
"07 17:00:00","0.83928571428571","112","13","0.16964285714286","0.13214285714286","0.12678571428571","0.11607142857143","0.13214285714286","0.12678571428571"
"07 17:20:00","0.86086956521739","115","12","0.13913043478261","0.11478260869565","0.11130434782609","0.10434782608696","0.11478260869565","0.11130434782609"
"07 17:40:00","0.85148514851485","101","25","0.35643564356436","0.28019801980198","0.26930693069307","0.24752475247525","0.28019801980198","0.26930693069307"
"07 18:00:00","0.92134831460674","89","6","0.1123595505618","0.080898876404494","0.076404494382022","0.067415730337079","0.080898876404494","0.076404494382022"
"07 18:20:00","0.91304347826087","92","5","0.076086956521739","0.060869565217391","0.058695652173913","0.054347826086956","0.060869565217391","0.058695652173913"
"07 18:40:00","0.86813186813187","91","5","0.065934065934066","0.058241758241758","0.057142857142857","0.054945054945055","0.058241758241758","0.057142857142857"
"07 19:00:00","0.98214285714286","56","4","0.10714285714286","0.082142857142857","0.078571428571429","0.071428571428571","0.082142857142857","0.078571428571429"
"07 19:20:00","0.79661016949152","59","7","0.16949152542373","0.13389830508475","0.12881355932203","0.11864406779661","0.13389830508475","0.12881355932203"
"07 19:40:00","0.85714285714286","49","5","0.12244897959184","0.10816326530612","0.10612244897959","0.10204081632653","0.10816326530612","0.10612244897959"
"07 20:00:00","0.93478260869565","46","4","0.17391304347826","0.11304347826087","0.10434782608696","0.08695652173913","0.11304347826087","0.10434782608696"
"07 20:20:00","0.825","40","7","0.2","0.1825","0.18","0.175","0.1825","0.18"
"07 20:40:00","0.64285714285714","28","4","0.21428571428571","0.16428571428571","0.15714285714286","0.14285714285714","0.16428571428571","0.15714285714286"
"08 08:00:00","0.81818181818182","22","4","0.27272727272727","0.20909090909091","0.2","0.18181818181818","0.20909090909091","0.2"
"08 08:20:00","0.97368421052632","38","2","0.078947368421053","0.060526315789474","0.057894736842105","0.052631578947368","0.060526315789474","0.057894736842105"
"08 08:40:00","0.97058823529412","34","5","0.26470588235294","0.18235294117647","0.17058823529412","0.14705882352941","0.18235294117647","0.17058823529412"
"08 09:00:00","0.89855072463768","69","5","0.14492753623188","0.094202898550725","0.08695652173913","0.072463768115942","0.094202898550725","0.08695652173913"
"08 09:20:00","0.95061728395062","81","2","0.037037037037037","0.028395061728395","0.02716049382716","0.024691358024691","0.028395061728395","0.02716049382716"
"08 09:40:00","0.87387387387387","111","18","0.24324324324324","0.18648648648649","0.17837837837838","0.16216216216216","0.18648648648649","0.17837837837838"
"08 10:00:00","0.90816326530612","98","10","0.14285714285714","0.11428571428571","0.11020408163265","0.10204081632653","0.11428571428571","0.11020408163265"
"08 10:20:00","0.94736842105263","152","7","0.059210526315789","0.05","0.048684210526316","0.046052631578947","0.05","0.048684210526316"
"08 10:40:00","0.88028169014085","142","21","0.22535211267606","0.17112676056338","0.16338028169014","0.14788732394366","0.17112676056338","0.16338028169014"
"08 11:00:00","0.81118881118881","143","20","0.2027972027972","0.15874125874126","0.15244755244755","0.13986013986014","0.15874125874126","0.15244755244755"
"08 11:20:00","0.90728476821192","151","28","0.29139072847682","0.21721854304636","0.20662251655629","0.18543046357616","0.21721854304636","0.20662251655629"
"08 11:40:00","0.85294117647059","102","17","0.25490196078431","0.19313725490196","0.1843137254902","0.16666666666667","0.19313725490196","0.1843137254902"
"08 12:00:00","0.875","96","13","0.17708333333333","0.14791666666667","0.14375","0.13541666666667","0.14791666666667","0.14375"
"08 12:20:00","0.91666666666667","72","7","0.15277777777778","0.11388888888889","0.10833333333333","0.097222222222222","0.11388888888889","0.10833333333333"
"08 12:40:00","0.875","80","7","0.1375","0.1025","0.0975","0.0875","0.1025","0.0975"
"08 13:00:00","0.875","80","7","0.0875","0.0875","0.0875","0.0875","0.0875","0.0875"
"08 13:20:00","0.875","88","12","0.19318181818182","0.15340909090909","0.14772727272727","0.13636363636364","0.15340909090909","0.14772727272727"
"08 13:40:00","0.86524822695035","141","17","0.17730496453901","0.13758865248227","0.13191489361702","0.12056737588652","0.13758865248227","0.13191489361702"
"08 14:00:00","0.86440677966102","177","21","0.17514124293785","0.13559322033898","0.12994350282486","0.11864406779661","0.13559322033898","0.12994350282486"
"08 14:20:00","0.88202247191011","178","24","0.19662921348315","0.15337078651685","0.14719101123595","0.13483146067416","0.15337078651685","0.14719101123595"
"08 14:40:00","0.87692307692308","195","31","0.22564102564103","0.17897435897436","0.17230769230769","0.15897435897436","0.17897435897436","0.17230769230769"
"08 15:00:00","0.8348623853211","218","40","0.27522935779816","0.21100917431193","0.20183486238532","0.18348623853211","0.21100917431193","0.20183486238532"
"08 15:20:00","0.92857142857143","182","26","0.1978021978022","0.15934065934066","0.15384615384615","0.14285714285714","0.15934065934066","0.15384615384615"
"08 15:40:00","0.94674556213018","169","22","0.20710059171598","0.15325443786982","0.14556213017751","0.1301775147929","0.15325443786982","0.14556213017751"
"08 16:00:00","0.86854460093897","213","59","0.44131455399061","0.32629107981221","0.30985915492958","0.27699530516432","0.32629107981221","0.30985915492958"
"08 16:20:00","0.79012345679012","162","42","0.40740740740741","0.3037037037037","0.28888888888889","0.25925925925926","0.3037037037037","0.28888888888889"
"08 16:40:00","0.81935483870968","155","48","0.44516129032258","0.35032258064516","0.33677419354839","0.30967741935484","0.35032258064516","0.33677419354839"
